address,latitude,longitude
Sengkang,1.391687825180226,103.8961297761746
180A Pasir Ris Street 11,1.36472794178271,103.9600976547551
150 Tampines Street 12,1.350946099750131,103.9432601150564
736A Pasir Ris Drive 10,1.378962405128855,103.9372407603056
113 Pasir Ris Street 11,1.368055258863077,103.9557671513175
18A Lorong 6 Toa Payoh,1.336073859739666,103.8565804840136
Punggol,1.40427754900531,103.902303768528
289 Compassvale Crescent,1.398057331204253,103.8968988750938
237A Bishan Street 22,1.359174924200174,103.8466598979901
Yishun,1.424293992479539,103.8356960509806
227 Ang Mo Kio Street 23,1.368778388779098,103.8402739443615
676 Woodlands Drive 71,1.439749517980793,103.8007207116206
475 Tampines Street 44,1.36032331939996,103.9531296404634
Tampines,1.343330328726356,103.9443723970848
Orchard,1.302318170806861,103.8249734388708
966A Hougang Avenue 9,1.377882165582964,103.8778344389841
608A Woodlands Ring Road,1.436092386380931,103.7971669288304
573 Ang Mo Kio Avenue 3,1.370561439990679,103.8548231027844
482A Admiralty Link,1.454881851397827,103.8156774698395
156 Simei Road,1.345150482047184,103.958719815836
470 Fernvale Link,1.396966920899726,103.8794388298209
145A Bedok Reservoir Road,1.333970681439174,103.911585363324
364A Tampines Street 34,1.357354998732009,103.9593559473346
114A Bedok North Street 2,1.330751766146195,103.9356001843579
786A Woodlands Drive 60,1.445987939137134,103.8000480448147
264 Serangoon Central,1.352274083301713,103.8721031995441
84C Lorong 2 Toa Payoh,1.335772705325144,103.8473258052164
437 Fernvale Road,1.392550405465336,103.8763303947236
108 Canberra Walk,1.447766114122725,103.8322230105598
"10 Bendemeer Road MSCP, Deck 5A [White Lots]",1.315509937836284,103.8609529829785
"108 Canberra Walk MSCP, Deck 3B [White Lots]",1.447766114122725,103.8322230105598
"225 Serangoon Avenue 4 Surface, [Lot 393-400]",1.356734810184302,103.8701137436702
"230 Yishun Street 21 Surface, [Lot 11-20]",1.434576232820918,103.8366208009835
"248 Simei Street 3 MSCP, Deck 3A [Lot 309-313]",1.343593762696094,103.9535411428251
"264 Serangoon Central MSCP, Deck 1 [Lot 172-181]",1.352274083301713,103.8721031995441
"311 Ubi Avenue 1 Surface, [Lot 282-332]",1.329941100773676,103.9033014451563
"324 Woodlands Street 32 Surface, [Lot 2-11] Behind Blk 324",1.431238489044836,103.7797124716555
"335A Sembawang Close MSCP, Deck 4A [White Lots]",1.447686569365276,103.81549721844
"339 Anchorvale Road Basement, Deck B2 [White Lots]",1.39679315311901,103.8884373447716
"435A Hougang Avenue 8 MSCP, Deck 5A [White Lots]",1.377687195807693,103.8939976007646
"470 Fernvale Link MSCP, Deck 5B [White Lots]",1.396966920899726,103.8794388298209
"475 Tampines Street 44 MSCP, Deck 3B [Lot 241-260]",1.36032331939996,103.9531296404634
"514 Bishan Street 13 MSCP, Deck 2 [White Lots]",1.350116942059639,103.8497631804412
"573 Ang Mo Kio Avenue 3 Surface, [Lot 122-159] near Blk 573 Lift A-E",1.370561439990679,103.8548231027844
"60A Lor 4 Toa Payoh MSCP, Deck 5A [White Lots]",1.336486551657482,103.8511222783286
"638 Yishun Street 61 Surface, [Lot 383-392] Beside Gantry",1.420259121839454,103.838566299942
"65A Kallang Bahru MSCP, Deck 5A [White Lots]",1.320244810109717,103.8691175014545
"676 Woodlands Drive 71 Basement, Deck B2 [Lot 186-195] Near Blk 676A",1.439749517980793,103.8007207116206
"313@somerset, L6 [Regular Lots]",1.301014364040584,103.8383606644851
"686 Woodlands Drive 73 MSCP, Deck 4 [White Lots]",1.442630126063131,103.8058560996492
"726 Yishun Street 71 Surface, [Lot 81-90]",1.426536213652698,103.8306687843416
"736A Pasir Ris Drive 10 MSCP, Deck 4A [White Lots]",1.378962405128855,103.9372407603056
"814 Jellicoe Road MSCP, Deck 7A [White Lots]",1.307220803324976,103.8618099809608
"925 Yishun Central 1 MSCP, Deck 3A [White Lots]",1.428230851225842,103.8374502525238
"Golden Mile Tower, L3 [Lot 57-59/84-85]",1.301891746839341,103.8641406792491
"PLQ Entrance Park Place Residences Basement, Level B1a [Blue Zone & Pillar A Lot 6-9]",1.315836753636183,103.8927466484271
Skengkang,1.3928443886439,103.8913469318141
Woodlands,1.434758410911524,103.8027210555322
Bedok,1.325004604599697,103.9277703143595
Boon Keng,1.319939576532913,103.8620526984453
Toa Payoh,1.332752647115879,103.8418472637856
Whampoa,1.324867492965702,103.8572012109099
"111A Rivervale Walk MSCP, Deck 5A [White Lots]",1.383764452507664,103.9009104067505
"113 Yishun Ring Road Surface, [Lot 336-345]",1.435135802014621,103.8288732410929
"17 Circuit Road MSCP, Deck 6A [White Lots]",1.329820107090923,103.8885750981449
"20A Lorong 3 Geylang MSCP, Deck 5 [White Lots]",1.314132536016523,103.8742173155165
"228 Punggol Field Basement, B1 [Lot 252-258]",1.403322473705391,103.8920354461431
"260 Sengkang East Way MSCP, Deck 4B [White Lots]",1.393736416714259,103.8958165953439
"261 Punggol Way MSCP, Deck 5A [White Lots]",1.405413535881295,103.8968238973516
"277A Compassvale Link Basement, Deck 1B [White Lots]",1.381863691653681,103.894481478264
"312 Sumang Link MSCP, Deck 4B [Lot 356-360]",1.41020221732285,103.9015025253356
"334 Anchorvale Crescent MSCP, Deck 6A [Lot 575-583]",1.397981299003669,103.8898662418687
"3A Lorong 7 Toa Payoh Surface, [Lot 130-139]",1.339524987300905,103.8544813090737
"407A Northshore Walk MSCP, [Lots 713-722]",1.41620572028032,103.9014164169019
"410 Ang Mo Kio Avenue 10 Surface, [Lot 23-33]",1.362715419880529,103.8546449865264
"433 Northshore Drive Basement, B1 Zone A1 & A2 [White Lots]",1.416941623504091,103.9107666163829
"437 Fernvale Road MSCP, Deck 5A [White Lots]",1.392550405465336,103.8763303947236
"482A Admiralty Link MSCP, Deck 4B [White Lots]",1.454881851397827,103.8156774698395
"642 Punggol Drive MSCP, Deck 4A [White Lots]",1.398722562866406,103.9163767305539
"772 Yishun Avenue 3 Surface, [Lot 637-646]",1.42363873303771,103.8325800459024
"Raffles Hospital, L6 [Lot 447-451]",1.30118153061217,103.8574655017285
Newton,1.314294263753117,103.8411506975849
Balestier,1.322976981215703,103.8528113545471
Marsiling,1.445407295786023,103.77336982144
"120A Lor 2 Toa Payoh MSCP, Deck 4B [White Lots]",1.339832598688946,103.8458591860477
"156A Rivervale Crescent MSCP, Deck 5A [White Lots]",1.391664485635916,103.9069572511075
"194 Punggol Road MSCP, Deck 5A [Lot 298-304]",1.402024262239749,103.9065240931488
"201 Woodleigh Link Basement, Deck B3 [White Lots]",1.340373603492741,103.8722209171391
"227 Ang Mo Kio Street 23 MSCP, Deck 5A [White Lots]",1.368778388779098,103.8402739443615
"237A Bishan Street 22 MSCP, Deck 4A [White Lots]",1.359174924200174,103.8466598979901
"273 Punggol Place MSCP, Deck 2 [Lot 420-448]",1.40271481129942,103.90189316053
"313@somerset, L7 [Lot 107-108, 115-117] (Beside Charging Point),",1.301014364040584,103.8383606644851
"316A Sembawang Vista MSCP, Deck 5B [White Lots]",1.446468791412959,103.8204842036233
"377 Hougang Street 32 MSCP, Deck 3A [White Lots]",1.362748514598845,103.8949069987737
"389 Yishun Avenue 6 Surface, [Lot 64-73]",1.429569990965016,103.8480204711403
"5 Haig Road Surface, [Lot 62-83] near Basketball Court",1.312589173691239,103.8965911931866
"579A Woodlands Drive 16 MSCP, Deck 5A [White Lots]",1.431038914691936,103.7955153709918
"678 Perumal Road MSCP, Deck 4A [White Lots]",1.312658106380739,103.8553277712718
"748 Bedok Reservoir Crescent MSCP, Deck 6A [White Lots]",1.336102584445255,103.9218827174923
"77 Lorong Limau Surface, [Lot 75-85]",1.325045675834736,103.8547627079542
"805 Hougang Central MSCP, Deck 3B [White Lots]",1.370683335773279,103.8943566099631
"846A Woodlands Avenue 4 MSCP, Deck 5A [White Lots]",1.442914827668235,103.793683729966
"Jalan Besar Sports Centre, MSCP L4 (just below rooftop) [Any Lot]",1.309521901745045,103.860211336261
"T-Space Surface, near EV Charging & Carpark Exit",1.371531605065654,103.9342037106439
"Tan Tock Seng Hospital (TTSH), Basement - B4 Near K4|L4 [Lot 65-69]",1.319673335099754,103.8479397660215
"182 Woodlands Street 13 MSCP, Deck 6B [White Lots]",1.435158950673783,103.7760233431974
