route_key,distance_km,duration_min
"1.335773,103.847326|1.378962,103.937241",16.04,25.3
"1.335773,103.847326|1.368055,103.955767",17.97,23.4
"1.335773,103.847326|1.370561,103.854823",8.1,13.3
"1.335773,103.847326|1.368778,103.840274",8.27,14.4
"1.335773,103.847326|1.336074,103.856580",1.6,4.7
"1.335773,103.847326|1.359175,103.846660",4.25,11.3
"1.335773,103.847326|1.447766,103.832223",19.78,31.0
"1.436092,103.797167|1.378962,103.937241",21.31,28.2
"1.436092,103.797167|1.368055,103.955767",24.21,32.3
"1.436092,103.797167|1.370561,103.854823",12.57,21.6
"1.436092,103.797167|1.368778,103.840274",12.45,21.3
"1.436092,103.797167|1.359175,103.846660",13.44,24.1
"1.436092,103.797167|1.447766,103.832223",5.26,11.8
"1.352274,103.872103|1.378962,103.937241",10.04,19.1
"1.352274,103.872103|1.368055,103.955767",12.95,23.2
"1.352274,103.872103|1.370561,103.854823",4.79,9.6
"1.352274,103.872103|1.359175,103.846660",4.84,10.8
"1.352274,103.872103|1.447766,103.832223",16.85,28.3
"1.392550,103.876330|1.378962,103.937241",9.13,15.9
"1.392550,103.876330|1.368055,103.955767",12.04,20.0
"1.392550,103.876330|1.370561,103.854823",5.62,12.2
"1.392550,103.876330|1.359175,103.846660",9.26,17.6
"1.396967,103.879439|1.378962,103.937241",8.42,13.3
"1.396967,103.879439|1.368055,103.955767",11.33,17.3
"1.396967,103.879439|1.370561,103.854823",5.94,12.4
"1.330752,103.935600|1.368055,103.955767",7.62,12.9
"1.330752,103.935600|1.370561,103.854823",15.5,21.7
"1.333971,103.911585|1.368055,103.955767",9.75,18.0
"1.333971,103.911585|1.370561,103.854823",13.14,20.6
"1.333971,103.911585|1.359175,103.846660",10.34,21.8
"1.330752,103.935600|1.359175,103.846660",15.15,22.9
"1.436092,103.797167|1.364728,103.960098",25.28,33.3
"1.436092,103.797167|1.398057,103.896899",16.54,23.4
"1.436092,103.797167|1.336074,103.856580",18.87,26.4
"1.436092,103.797167|1.454882,103.815677",4.45,10.7
"1.439750,103.800721|1.398057,103.896899",17.09,24.3
"1.333971,103.911585|1.368778,103.840274",13.32,21.7
"1.333971,103.911585|1.336074,103.856580",9.48,15.4
"1.330752,103.935600|1.368778,103.840274",15.68,22.9
"1.330752,103.935600|1.336074,103.856580",11.84,16.5
"1.352274,103.872103|1.336074,103.856580",4.06,9.2
"1.391688,103.896130|1.428231,103.837450",12.89,21.1
"1.428231,103.837450|1.336487,103.851122",15.06,24.1
"1.391688,103.896130|1.439750,103.800721",17.29,24.4
"1.439750,103.800721|1.431238,103.779712",3.0,6.5
"1.447766,103.832223|1.370561,103.854823",11.23,22.5
"1.391688,103.896130|1.442630,103.805856",17.35,24.6
"1.442630,103.805856|1.350117,103.849763",15.17,27.2
"1.391688,103.896130|1.447687,103.815497",18.45,26.2
"1.447687,103.815497|1.350117,103.849763",16.07,28.0
"1.391688,103.896130|1.420259,103.838566",12.43,20.4
"1.420259,103.838566|1.320245,103.869118",16.17,24.9
"1.391688,103.896130|1.426536,103.830669",13.05,22.2
"1.426536,103.830669|1.434576,103.836621",2.17,5.8
"1.391688,103.896130|1.396967,103.879439",2.52,6.1
"1.396967,103.879439|1.377687,103.893998",3.38,8.7
"1.391688,103.896130|1.396793,103.888437",1.68,4.3
"1.396793,103.888437|1.377687,103.893998",3.23,8.4
"1.391688,103.896130|1.356735,103.870114",7.45,15.8
"1.356735,103.870114|1.352274,103.872103",1.09,3.2
"1.378962,103.937241|1.343594,103.953541",7.95,13.4
"1.391688,103.896130|1.329941,103.903301",12.07,18.2
"1.329941,103.903301|1.307221,103.861810",6.72,13.9
"1.329941,103.903301|1.301892,103.864141",7.25,14.0
